country,country_code,cpi_score,gdp_growth,control_of_corruption,government_effectiveness,regulatory_quality,fdi_inflow
Gabon,GAB,27.0,3.39403899592401,-1.01552844047546,-0.779809296131134,-0.704819560050964,1145.0
Gambia,GMB,38.0,5.55126069510321,-0.281129717826843,-0.590593457221985,-0.639587819576263,
Georgia,GEO,53.0,9.67979387500691,0.617694795131683,0.791285872459412,0.946578145027161,1334.0
Germany,DEU,75.0,-0.495851897260366,1.66416621208191,1.18541669845581,1.45697498321533,5716.0
Ghana,GHA,42.0,5.59045469593266,-0.0990211144089699,-0.092661589384079,-0.18065220117569,1669.0
Greece,GRC,49.0,2.0865743380603,0.0978469252586365,0.148003026843071,0.578935325145721,7304.0
Grenada,GRD,56.0,3.96332516398188,0.558168590068817,-0.0060560517013073,0.314693748950958,267.0
Guatemala,GTM,25.0,3.65186382894819,-1.12161290645599,-0.897167265415192,-0.290354937314987,1694.0
Guinea,GIN,28.0,5.35004659051708,-0.897673428058624,-0.907938599586487,-1.07605743408203,1828.0
Guinea-Bissau,GNB,21.0,4.14631137217332,-1.1783698797226,-1.43258428573608,-1.24987518787384,27.0
Guyana,GUY,39.0,43.8193108024355,-0.383745014667511,-0.294486999511719,-0.563037872314453,8630.0
Haiti,HTI,16.0,-4.16963395808132,-1.44387412071228,-2.22533392906189,-1.39060175418854,41.0
Honduras,HND,22.0,3.55397003296669,-1.11195814609528,-0.795222759246826,-0.550886929035187,994.0
Hungary,HUN,41.0,0.560117843140432,-0.000498130626510829,0.372758895158768,0.318309366703033,5737.0
Iceland,ISL,77.0,-0.970676468918384,1.55130612850189,1.55512094497681,1.28444385528564,189.0
India,IND,38.0,6.49476552383821,-0.366014748811722,0.47511014342308,-0.136969581246376,27556.0
Indonesia,IDN,37.0,5.03034469419038,-0.48687219619751,0.58032637834549,0.301378756761551,24212.0
Iran,IRN,23.0,3.66312056830718,-1.23189043998718,-1.02239692211151,-1.68747353553772,
Iraq,IRQ,26.0,-1.54525198318304,-1.32103753089905,-1.38960635662079,-1.43832731246948,-7458.0
Ireland,IRL,77.0,2.59946721553708,1.5752888917923,1.59114551544189,1.74936389923096,-38891.0
Israel,ISR,64.0,0.871968424377442,0.829359412193298,1.1453697681427,1.12179791927338,16808.0
Italy,ITA,54.0,0.692676948440536,0.550129175186157,0.611036896705627,0.644031763076782,24726.0
Jamaica,JAM,44.0,-0.535039063867487,-0.112082988023758,0.407290458679199,0.0980334356427193,156.0
Japan,JPN,71.0,0.104309021773304,1.3956606388092,1.63126504421234,1.46932590007782,13357.0
Jordan,JOR,49.0,2.48889409603647,0.0886586904525757,0.386213511228561,0.217705458402634,1635.0
Kazakhstan,KAZ,40.0,4.99999999996936,-0.26659306883812,0.146814674139023,0.0659545287489891,-2550.0
Kenya,KEN,32.0,4.72473994710138,-0.770913004875183,-0.303605198860168,-0.390806585550308,1503.0
Kuwait,KWT,46.0,-2.56011099967517,0.206611827015877,0.0075402706861496,0.320921540260315,614.0
Kyrgyzstan,KGZ,25.0,9.04013556120012,-1.22109532356262,-0.890727877616882,-0.616720378398895,
Laos,LAO,33.0,4.13019264436937,-0.973836362361908,-0.6432785987854,-0.927797913551331,
Latvia,LVA,59.0,-0.0461080109713521,0.698113977909088,0.696560978889465,1.17222261428833,1211.0
Lesotho,LSO,37.0,2.85452253179545,-0.509478509426117,-0.953606307506561,-0.590149462223053,-42.0
Liberia,LBR,27.0,4.02185464964835,-0.888349294662476,-1.35536432266235,-0.923699855804443,747.0
Libya,LBY,13.0,1.89995052025442,-1.52501881122589,-1.63588905334473,-1.9459183216095,
Lithuania,LTU,63.0,2.77263124530285,0.781545519828796,1.05012118816376,1.33804214000702,3271.0
Luxembourg,LUX,81.0,0.35861253942069,1.92665910720825,1.91421329975128,1.92906320095062,105987.0
Madagascar,MDG,26.0,4.19999999988647,-1.00018215179443,-1.02277612686157,-0.799546599388123,413.0
Malawi,MWI,34.0,1.6734340852915,-0.602811515331268,-0.859506547451019,-0.772310614585876,220.0
Malaysia,MYS,50.0,5.10545921024041,0.295621365308762,0.875369668006897,0.660894274711609,11259.0
Maldives,MDV,38.0,3.49440422654285,-0.396943330764771,-0.127973482012749,-0.672039389610291,806.0
Mali,MLI,27.0,4.99226917482922,-0.861831545829773,-1.13859808444977,-0.679561257362366,709.0
Malta,MLT,46.0,6.79990300224401,0.10974658280611,0.397335052490234,0.687359094619751,5371.0
Mauritania,MRT,30.0,6.30760213290844,-0.822652637958527,-0.763598620891571,-0.997108280658722,1531.0
Mauritius,MUS,51.0,4.92512304864294,0.453197360038757,0.710137605667114,1.06447863578796,681.0
Mexico,MEX,26.0,1.42742769080466,-1.02057874202728,-0.198361441493034,-0.171988308429718,36872.0
Moldova,MDA,43.0,0.103059364371205,-0.28033846616745,-0.164951995015144,0.105498053133488,
